"light_index","x","y","z"
0,-0.04798441569380252,403.78056802587986,-6.201060186258922
1,-40.34864886800618,431.385124583844,9.842894273003193
2,-0.289075136075302,405.8486669657426,-21.889116898422007
3,-19.00723276695614,431.8423628863013,-21.46700783912358
4,-45.753746459371534,431.71420917870364,-26.327723500835447
5,-51.17980691180446,431.76071476894583,-33.4544057170782
6,-60.0327712798296,431.1427665693677,-53.83547155924212
7,-69.66744509105129,430.12225918630475,-74.35466009820415
8,-85.08351692922766,431.65781455421074,-50.89602777196935
9,-75.21614409086354,432.0836060747707,-31.359226317460752
10,-94.86232023279891,432.50662648819355,-20.170492356344685
11,-90.30161416176769,431.78272719566627,-6.938446643687989
12,-90.23964645667894,430.84264866653905,1.8564858954448176
13,-85.09658593870944,431.4833354727095,22.08216598307165
14,-64.8207445807104,428.1097533827069,24.814937499178097
15,-86.71669354896615,427.96710096862626,50.595388566860954
16,-53.58584658167314,429.2213672757479,58.59514012019865
17,-68.20321656873736,391.3509299501983,69.70086432206296
18,-40.09366883793349,416.69806712680787,60.56784812240866
19,-29.321080817977446,416.4889920024905,71.67900239106598
20,-16.41736793455812,381.5686840369876,77.17496397742934
21,-11.860118470232333,367.2935991177239,86.7757612011866
22,-13.78459164279193,345.1890507692954,73.06851071555872
23,12.238057293255464,353.46043834873853,64.3508127378175
24,26.95056979705386,345.3152008447914,67.928904865836
25,34.87288982802319,333.7162717156289,60.261013624023526
26,47.893109477597775,325.9483006290796,47.74812206490041
27,42.25492560706827,317.7702824858889,36.981240598713114
28,44.40505263691227,307.7266056463277,22.707175117777698
29,49.78536737488881,300.8205814923001,14.119678409166095
30,44.19919402101157,286.55872374223986,2.272819709664503
31,43.35705106338694,280.9503661532716,-11.391001072859368
32,32.60094098588704,267.2991832214588,-20.192490016569202
33,33.48901691623162,255.70555207886105,-29.824920572681417
34,38.56827261089915,238.44720594161353,-15.857642881257998
35,20.192830165154607,225.45997025037525,-17.280874263422437
36,8.950436000572104,217.77820202840155,-31.961586926468364
37,16.948146569970742,206.85667764689418,-13.907269631384281
38,-2.3564085454557304,194.18318804083583,-12.898182667119944
39,-5.06693296042366,182.67552175253587,-7.285600383548239
40,-7.7686907737278466,164.7993426054278,-14.1620164296453
41,-17.744662130284627,152.5689549674521,-0.1130797805642536
42,-4.965459705352865,143.29715602727927,-0.5202647414363153
43,-11.050631093468734,131.44305160818163,12.57188276106521
44,-7.536942842919013,116.45460071415481,17.250199010110656
45,4.050506013842195,107.02738346773988,18.226742835439865
46,-4.119604624801648,89.78162339305533,5.4440692057851106
47,2.7848619403501886,75.72180439459804,10.566293549845218
48,5.227771875484186,63.89487269241864,-8.430129957206448
49,-8.15511245456489,70.89850570008727,-3.7987150397634557
50,-12.248044113708378,58.622062101943655,-13.781651365569882
51,11.86977055752556,57.990059930470316,-1.5297577679368226
52,-2.5851718016644503,48.14038216962432,10.424978889144278
53,3.570055028924372,81.05567511038866,11.45319713422184
54,-10.438903527434725,95.84780574423323,22.71631625800822
55,10.846796844532431,110.4598660366881,-8.119490954997428
56,-5.061051089993463,113.33402950703376,-10.678244169143289
57,-15.688514805859121,132.20347258858962,-12.884549261780334
58,-15.97018717286597,151.144199881359,-25.47527710316857
59,5.658653145944228,163.195706717609,-22.950644940218087
60,28.329320457282286,172.16233562620903,3.79934921058959
61,33.15839442294337,182.82745077480604,0.3269416048095124
62,31.55719384753026,197.65850302340792,-0.5737166195032728
63,31.84524403316413,214.45723635584034,9.401410795921436
64,33.79405325933874,219.57231284937413,24.848795998139543
65,34.69183002653874,239.2984635094944,28.90451039831324
66,26.83610801961367,249.319826630126,28.212913028752006
67,17.20714499400529,258.6833091510876,34.79662877196892
68,10.178794242061324,275.1060795943831,46.26379153870806
69,11.730109830701434,275.64124344434447,60.76589636762194
70,-9.297747379186948,296.4162048934253,48.177617129643394
71,-21.80765852796262,310.56343980310595,50.37952322623696
72,-33.709321609880284,310.37840293934977,58.3341530110887
73,-45.499215076799395,323.41948992232835,55.47333381631914
74,-47.26306011963494,338.5591908868198,44.841923837494555
75,-53.52798252842937,350.00580538103793,35.82539433148037
76,-65.49142590012777,360.12406042888153,28.980716648922396
